Case Number Tax,Sale Date,Add Date,Status,Final Judgment,Opening Bid,Assessed Value,Folio
2020A01490,05/13/2021,03/03/2021,Accepting Proxy,0,47474.97,465700.0,2822100800930
2020A01531,05/13/2021,03/03/2021,Accepting Proxy,0,4967.46,53940.0,3068110000273
2020A01533,05/13/2021,03/03/2021,Accepting Proxy,0,15151.91,131033.0,3421150033720
2020A01495,05/13/2021,03/03/2021,Accepting Proxy,0,6699.49,80000.0,3079040280110
2020A01451,05/13/2021,03/03/2021,Accepting Proxy,0,58448.69,74953.0,3031220110010
2020A01393,05/13/2021,03/03/2021,Accepting Proxy,0,14327.18,,431170140840
2020A01395,05/13/2021,03/03/2021,Accepting Proxy,0,218396.63,366596.0,3059130260250
2020A01396,05/13/2021,03/03/2021,Accepting Proxy,0,14337.15,336600.0,242032130090
2020A01496,05/13/2021,03/03/2021,Accepting Proxy,0,9991.97,99821.0,2540060831860
2020A01405,05/13/2021,03/03/2021,Accepting Proxy,0,9048.26,80080.0,622200552080
2020A01498,05/13/2021,03/03/2021,Accepting Proxy,0,11575.49,130602.0,421320130220
2020A01534,05/13/2021,03/03/2021,Accepting Proxy,0,22329.5,294559.0,3030230470020
2020A01407,05/13/2021,03/03/2021,Accepting Proxy,0,6531.77,116000.0,232340360060
2020A01501,05/13/2021,03/03/2021,Accepting Proxy,0,11604.04,116000.0,232270260120
2020A01535,05/13/2021,03/03/2021,Accepting Proxy,0,33179.5,1167281.0,141210010955
2020A01409,05/13/2021,03/03/2021,Accepting Proxy,0,15813.63,171820.0,3012310080090
2020A01502,05/13/2021,03/03/2021,Accepting Proxy,0,11217.36,74080.0,821220051490
2020A01537,05/13/2021,03/03/2021,Accepting Proxy,0,5386.03,42050.0,622290780830
2020A01452,05/13/2021,03/04/2021,Accepting Proxy,0,5166.36,118851.0,131130230660
2020A01538,05/13/2021,03/04/2021,Accepting Proxy,0,106396.43,182750.0,3059050071050
2020A01539,05/13/2021,03/04/2021,Canceled,0,7898.84,96333.0,3049120412630
2020A01453,05/13/2021,03/04/2021,Accepting Proxy,0,7701.05,61088.0,1678240180241
2020A01483,05/13/2021,03/04/2021,Accepting Proxy,0,3667.13,36775.0,3058280001300
2020A01410,05/13/2021,03/04/2021,Accepting Proxy,0,3321.64,66800.0,3022060410220
2020A01454,05/13/2021,03/04/2021,Accepting Proxy,0,8309.02,75625.0,131140410410
2020A01541,05/13/2021,03/04/2021,Accepting Proxy,0,8570.59,93600.0,3122020340940
2020A01455,05/13/2021,03/04/2021,Accepting Proxy,0,19068.22,214700.0,2822030741490
2020A01411,05/13/2021,03/04/2021,Accepting Proxy,0,12484.34,285497.0,3040130062121
2020A01412,05/13/2021,03/04/2021,Accepting Proxy,0,11267.84,135433.0,3030531240600
2020A01543,05/13/2021,03/04/2021,Canceled,0,8572.93,104272.0,3040040831630
2021A00020,05/13/2021,03/05/2021,Accepting Proxy,0,24374.16,224501.0,141391250280
2020A01471,05/13/2021,03/05/2021,Accepting Proxy,0,15029.02,128104.0,3031040080150
2020A00331,04/08/2021,03/17/2021,Canceled,0,648.28,,3050320000432
2021A00070,05/20/2021,03/19/2021,Accepting Proxy,0,16211.66,178000.0,3122110300690
2021A00011,05/20/2021,03/19/2021,Accepting Proxy,0,6041.25,198962.0,821220170360
2021A00012,05/20/2021,03/19/2021,Accepting Proxy,0,5947.36,90750.0,940250730810
2021A00040,05/20/2021,03/22/2021,Accepting Proxy,0,30154.13,333118.0,3040080250890
2021A00042,05/20/2021,03/22/2021,Accepting Proxy,0,34564.71,409126.0,141381572650
2019A01112,05/20/2021,03/22/2021,Accepting Proxy,0,-824.91,27820.0,622290780690
2021A00043,05/20/2021,03/22/2021,Accepting Proxy,0,30979.75,55062.0,131360830340
2021A00044,05/20/2021,03/22/2021,Accepting Proxy,0,4187.38,46413.0,622300670230
2019A01271,05/20/2021,03/22/2021,Accepting Proxy,0,7523.08,117894.0,3031210230370
2021A00014,05/20/2021,03/23/2021,Canceled,0,16649.05,187500.0,3069350000080
2021A00071,05/20/2021,03/23/2021,Accepting Proxy,0,25428.84,210540.0,622210363480
2021A00073,05/20/2021,03/23/2021,Accepting Proxy,0,8304.77,80241.0,131230210220
2021A00074,05/20/2021,03/23/2021,Accepting Proxy,0,26928.69,326000.0,3040190032220
2021A00016,05/20/2021,03/23/2021,Accepting Proxy,0,11479.98,235578.0,3660160060470
2021A00045,05/20/2021,03/23/2021,Accepting Proxy,0,18637.4,165332.0,1422350430860
2021A00017,05/20/2021,03/23/2021,Accepting Proxy,0,23853.97,555674.0,430110470040
2021A00046,05/20/2021,03/23/2021,Accepting Proxy,0,14470.06,106104.0,102020501230
2021A00075,05/20/2021,03/23/2021,Accepting Proxy,0,2758.91,34100.0,622290710210
2021A00048,05/20/2021,03/23/2021,Accepting Proxy,0,1832.02,48148.0,131140000350
2021A00049,05/20/2021,03/23/2021,Canceled,0,11623.19,127638.0,430120101220
2020A01007,05/20/2021,03/23/2021,Accepting Proxy,0,9739.83,80396.0,3421150080080
2021A00021,05/20/2021,03/23/2021,Accepting Proxy,0,78346.24,1523000.0,242032860730
2021A00050,05/20/2021,03/23/2021,Accepting Proxy,0,8358.99,69877.0,131350191210
2021A00022,05/20/2021,03/23/2021,Accepting Proxy,0,42950.28,430000.0,242032580240
2021A00051,05/20/2021,03/23/2021,Accepting Proxy,0,10178.65,31411.0,132180260150
2021A00076,05/20/2021,03/24/2021,Accepting Proxy,0,2537.69,15122.0,131130520280
2021A00023,05/20/2021,03/24/2021,Accepting Proxy,0,11156.5,120960.0,3122020341150
2021A00024,05/20/2021,03/24/2021,Accepting Proxy,0,13753.63,132920.0,3220230150170
2020A01171,05/20/2021,03/24/2021,Accepting Proxy,0,23370.12,299987.0,131340580260
2021A00077,05/20/2021,03/24/2021,Accepting Proxy,0,10576.01,70348.0,131230130230
2020A01236,05/20/2021,03/24/2021,Accepting Proxy,0,8343.32,167000.0,420341220030
2021A00025,05/20/2021,03/24/2021,Accepting Proxy,0,305984.52,469502.0,141390050840
2020A01255,05/20/2021,03/24/2021,Accepting Proxy,0,14531.03,233405.0,430120030501
2021A00072,05/20/2021,03/24/2021,Accepting Proxy,0,19405.71,234336.0,141391161800
2021A00027,05/20/2021,03/24/2021,Accepting Proxy,0,28077.07,352319.0,3350340010090
2021A00028,05/20/2021,03/24/2021,Accepting Proxy,0,49614.91,504179.0,131340350330
2021A00078,05/20/2021,03/24/2021,Accepting Proxy,0,7077.62,80900.0,131130651180
2021A00079,05/20/2021,03/24/2021,Accepting Proxy,0,3269.65,20820.0,131230140011
2021A00029,05/20/2021,03/24/2021,Accepting Proxy,0,15062.94,179080.0,3031160000130
2020A01373,05/20/2021,03/24/2021,Accepting Proxy,0,19413.05,257485.0,132300461910
2021A00033,05/20/2021,03/24/2021,Accepting Proxy,0,8081.11,82800.0,3122020342570
