Case Number Eviction,Folio,Filing Date
2021-003220-CC-21,3530170460010,2021-04-01
2021-003221-CC-21,3530190070130,2021-04-01
2021-003821-CC-20,131260390790,2021-04-01
2021-003872-CC-20,131220520010,2021-04-01
2021-003882-CC-20,131270320010,2021-04-01
2021-006949-CC-26,3049331030270,2021-04-01
2021-006958-CC-26,3049320160880,2021-04-01
2021-006985-CC-26,3059360060100,2021-04-01
2021-008652-CC-23,3421040150900,2021-04-01
2021-008707-CC-23,622210230010,2021-04-01
2021-008714-CC-23,622190070460,2021-04-01
2021-008728-CC-23,3411340090010,2021-04-01
2021-008729-CC-23,3021350270140,2021-04-01
2021-008771-CC-23,621250030030,2021-04-01
2021-009334-CC-05,141380030990,2021-04-01
2021-009335-CC-05,141380030990,2021-04-01
2021-009336-CC-05,141380030990,2021-04-01
2021-009337-CC-05,132301030010,2021-04-01
2021-009338-CC-05,131310110360,2021-04-01
2021-009339-CC-05,131240240990,2021-04-01
2021-009340-CC-05,3530340380020,2021-04-01
2021-009341-CC-05,131310110370,2021-04-01
2021-009342-CC-05,141381680180,2021-04-01
2021-011200-CC-25,40181091310,2021-04-01
2021-011355-CC-25,141150060320,2021-04-01
2021-002175-CC-24,2332090110070,2021-04-02
2021-007059-CC-26,3079020060190,2021-04-02
2021-008772-CC-23,3421120440400,2021-04-02
2021-008778-CC-23,622300260970,2021-04-02
2021-008781-CC-23,3122110130010,2021-04-02
2021-008792-CC-23,3020110805410,2021-04-02
2021-008793-CC-23,3122110130010,2021-04-02
2021-008794-CC-23,622210340011,2021-04-02
2021-008795-CC-23,3012330580010,2021-04-02
2021-009329-CC-05,132300230260,2021-04-02
2021-009331-CC-05,132310770010,2021-04-02
2021-009378-CC-05,132310770010,2021-04-02
2021-009390-CC-05,132310770010,2021-04-02
2021-009421-CC-05,131250090180,2021-04-02
2021-009472-CC-05,131320060250,2021-04-02
2021-009473-CC-05,102070401020,2021-04-02
2021-009474-CC-05,141211941670,2021-04-02
2021-009475-CC-05,132301030010,2021-04-02
2020-003713-CC-24,232030071400,11/30/2020
2020-003722-CC-24,141110010260,12/01/2020
2020-003723-CC-24,232340020650,12/02/2020
2020-003724-CC-24,2332090460730,12/02/2020
2020-003725-CC-24,232030050030,12/02/2020
2020-003728-CC-24,232330090010,12/02/2020
2020-003730-CC-24,242031860360,12/02/2020
2020-003731-CC-24,1422350430680,12/02/2020
2020-003732-CC-24,232330280040,12/02/2020
2020-003733-CC-24,1222260291350,12/02/2020
2020-003734-CC-24,232330730001,12/02/2020
2020-003735-CC-24,1422350070570,12/03/2020
2020-003737-CC-24,1322270010140,12/03/2020
2020-003738-CC-24,232100110240,12/03/2020
2020-003739-CC-24,2332090010330,12/03/2020
2020-003742-CC-24,232220110690,12/03/2020
2020-003751-CC-24,232100021050,12/07/2020
2020-003764-CC-24,232340021400,12/08/2020
2020-003771-CC-24,232340180660,12/08/2020
2020-003782-CC-24,232020390030,12/09/2020
2020-003786-CC-24,242030098470,12/09/2020
2020-003788-CC-24,242030093730,12/09/2020
2020-003789-CC-24,232340000010,12/09/2020
2020-003790-CC-24,232330712480,12/09/2020
2020-003801-CC-24,242030860100,12/10/2020
2020-003808-CC-24,232341890220,12/10/2020
2020-003809-CC-24,232020080390,12/10/2020
2020-003817-CC-24,1222260280130,12/11/2020
2020-003820-CC-24,2332090471590,12/11/2020
2020-003821-CC-24,232330793240,12/14/2020
2020-003823-CC-24,232330791490,12/14/2020
2020-003825-CC-24,232330790420,12/14/2020
2020-003838-CC-24,232260010280,12/14/2020
2020-003839-CC-24,232020020540,12/14/2020
2020-003840-CC-24,232100021050,12/15/2020
2020-003841-CC-24,1422350010320,12/14/2020
2020-003850-CC-24,232020070640,12/15/2020
2020-003851-CC-24,232340110020,12/15/2020
2020-003854-CC-24,2332090440350,12/15/2020
2020-003855-CC-24,232020030270,12/15/2020
2020-003858-CC-24,1422350010360,12/15/2020
2020-003876-CC-24,232100110210,12/17/2020
2020-003887-CC-24,232020081730,12/18/2020
2020-003890-CC-24,232340070520,12/18/2020
2020-003945-CC-24,2332090413070,12/21/2020
2020-003946-CC-24,2332090414970,12/21/2020
2020-003953-CC-24,232100170050,12/21/2020
2020-003955-CC-24,232020030330,12/22/2020
2020-003957-CC-24,232342090070,12/21/2020
2020-003958-CC-24,232021380180,12/21/2020
2020-003959-CC-24,232020082200,12/22/2020
2020-003960-CC-24,232340190600,12/21/2020
2020-003961-CC-24,2332090010040,12/22/2020
2020-003962-CC-24,232100020920,12/21/2020
2020-003963-CC-24,232020082420,12/21/2020
2020-003964-CC-24,141050090120,12/22/2020
